Cust No.,Item No.,Description,Description,UPC 2 - Box,U/M,Packed,Retail Pack,Price,Retail,UPC 1 - Each,UPC 2 - Box,UPC 3 - Case,Each Price,Description,Unit Retail
910992,103341,MARLBORO ICE MENTHOL BOX KS,PHILIP MORRIS,28200194909.00,CTN,00010 PAK,10/CT,86.21,9.58,28200009494.00,28200194909.00,28200094964.00,8.62,CIGARETTES,95.8
910992,103390,BASIC MENTHOL GOLD BOX KING,VALUE BRANDS: PHILIP MORRIS,28200304216.00,CTN,00010 PAK,10/CT,90.46,10.06,28200304223.00,28200304216.00,28200304261.00,9.04,CIGARETTES,100.6
910992,103432,BASIC MENTHOL GOLD BOX 100,VALUE BRANDS: PHILIP MORRIS,28200304513.00,CTN,00010 PAK,10/CT,90.46,10.06,28200304520.00,28200304513.00,28200304568.00,9.04,CIGARETTES,100.6
910992,103499,MONTCLAIR BLUE BOX 100,VALUE BRANDS: ITG,90600301959.00,CTN,00010 PAK,10/CT,51.6,5.73,90600000951.00,90600301959.00,90600332953.00,5.16,CIGARETTES,57.3
910992,103507,MONTCLAIR MEN GOLD BOX 100,VALUE BRANDS: ITG,90600301973.00,CTN,00010 PAK,10/CT,51.6,5.73,90600000975.00,90600301973.00,90600332977.00,5.16,CIGARETTES,57.3
910992,103515,MONTCLAIR BLACK BOX 100,VALUE BRANDS: ITG,90600301935.00,CTN,00010 PAK,10/CT,51.6,5.73,90600000937.00,90600301935.00,90600332939.00,5.16,CIGARETTES,57.3
910992,103523,MONTCLAIR SILVER BOX 100,VALUE BRANDS: ITG,90600301966.00,CTN,00010 PAK,10/CT,51.6,5.73,90600000968.00,90600301966.00,90600332960.00,5.16,CIGARETTES,57.3
910992,103556,WINSTON BLACK BOX KS,ITG,90500100324.00,CTN,00010 PAK,10/CT,84,9.33,90500000006.00,90500100324.00,90500150428.00,8.4,CIGARETTES,93.3
910992,103564,WINSTON BLACK BOX 100,ITG,90500100331.00,CTN,00010 PAK,10/CT,84,9.33,90500000020.00,90500100331.00,90500150435.00,8.4,CIGARETTES,93.3
910992,103671,L&M TURKISH BLEND BOX KING,VALUE BRANDS: PHILIP MORRIS,28200313911.00,CTN,00010 PAK,10/CT,81.13,9.01,28200313928.00,28200313911.00,28200313966.00,8.11,CIGARETTES,90.1
910992,103689,L&M TURKISH BLEND BOX 100,VALUE BRANDS: PHILIP MORRIS,28200314017.00,CTN,00010 PAK,10/CT,81.13,9.01,28200314024.00,28200314017.00,28200314062.00,8.11,CIGARETTES,90.1
910992,103705,SONOMA MENTHOL GREEN BOX 100,VALUE BRANDS: ITG,90600010059.00,CTN,00010 PAK,10/CT,57.7,6.41,90600000265.00,90600010059.00,90600509508.00,5.77,CIGARETTES,64.1
910992,103713,SONOMA BLUE BOX 100,VALUE BRANDS: ITG,90600010042.00,CTN,00010 PAK,10/CT,57.7,6.41,90600000258.00,90600010042.00,90600509492.00,5.77,CIGARETTES,64.1
910992,103721,CAMEL PLATINUM BOX KS,R.J. REYNOLDS,12300215138.00,CTN,00010 PAK,10/CT,96.16,10.69,12300200158.00,12300215138.00,12300306584.00,9.62,CIGARETTES,106.9
910992,103739,MONTCLAIR BLACK BOX KS,VALUE BRANDS: ITG,90600010004.00,CTN,00010 PAK,10/CT,51.6,5.73,90600000029.00,90600010004.00,90600509454.00,5.16,CIGARETTES,57.3
910992,103747,CAPRI MAGENTA BOX 120,R.J. REYNOLDS,27200011162.00,CTN,00010 PAK,10/CT,122.51,13.61,27200002160.00,27200011162.00,27200330690.00,12.25,CIGARETTES,136.1
910992,103754,CAPRI MENTHOL INDIGO BOX 120,R.J. REYNOLDS,27200011179.00,CTN,00010 PAK,10/CT,122.51,13.61,27200002177.00,27200011179.00,27200330706.00,12.25,CIGARETTES,136.1
910992,103762,MISTY BLUE BOX 100,VALUE BRANDS: R.J. REYNOLDS,43300051082.00,CTN,00010 PAK,10/CT,101.6,11.29,43300000943.00,43300051082.00,43300330552.00,10.16,CIGARETTES,112.9
910992,103770,MISTY MENTHOL GREEN BOX 100,VALUE BRANDS: R.J. REYNOLDS,43300052089.00,CTN,00010 PAK,10/CT,101.6,11.29,43300000950.00,43300052089.00,43300330569.00,10.16,CIGARETTES,112.9
910992,103788,MONTCLAIR BLUE BOX KS,VALUE BRANDS: ITG,90600010011.00,CTN,00010 PAK,10/CT,51.6,5.73,90600000036.00,90600010011.00,90600509461.00,5.16,CIGARETTES,57.3
910992,103804,MONTCLAIR MN DRK GRN BOX 100,VALUE BRANDS: ITG,90600010028.00,CTN,00010 PAK,10/CT,51.6,5.73,90600000234.00,90600010028.00,90600509478.00,5.16,CIGARETTES,57.3
910992,103812,MARLBORO ICE SMOOTH MEN BOX KS,PHILIP MORRIS,28200330611.00,CTN,00010 PAK,10/CT,86.21,9.58,28200330628.00,28200330611.00,28200330666.00,8.62,CIGARETTES,95.8
910992,103861,MARLBORO RED LABEL BOX KING,PHILIP MORRIS,28200136800.00,CTN,00010 PAK,10/CT,83.65,9.3,28200003683.00,28200136800.00,28200036803.00,8.37,CIGARETTES,93
910992,104059,CAMEL WIDES CLASSIC FILTER BOX KS,R.J. REYNOLDS,12300707138.00,CTN,00010 PAK,10/CT,96.16,10.69,12300707992.00,12300707138.00,12300329668.00,9.62,CIGARETTES,106.9
910992,104067,CAMEL WIDES CLASSIC BLUE BOX KS,R.J. REYNOLDS,12300708135.00,CTN,00010 PAK,10/CT,96.16,10.69,12300708999.00,12300708135.00,12300329675.00,9.62,CIGARETTES,106.9
910992,104091,CAMEL CRUSH RICH BX KS,R.J. REYNOLDS,12300108751.00,CTN,00010 PAK,10/CT,86.83,9.64,12300108744.00,12300108751.00,12300108768.00,8.68,CIGARETTES,96.4
910992,104216,CROWNS RED BOX KS,VALUE BRANDS: ITG,90600392605.00,CTN,00010 PAK,10/CT,39.75,4.42,90600391608.00,90600392605.00,90600393602.00,3.98,CIGARETTES,44.2
910992,104224,MARLBORO ICE BOLD MEN BOX KS,PHILIP MORRIS,28200331311.00,CTN,00010 PAK,10/CT,86.21,9.58,28200331328.00,28200331311.00,28200331366.00,8.62,CIGARETTES,95.8
